Age,Gender,Education_Level,Job Title,Divisions,Years of Experience,Rank,Salary,Salary_division
29,Female,Master's Degree,Data Scientist,Science and Analytics,4,Junior,182000,High
30,Male,PhD,Data Scientist,Science and Analytics,5,Junior,180000,High
45,Male,PhD,Senior Manager,Managerial,15,Senior,150000,High
36,Female,Bachelor's,Sales Associate,Sales,7,Mid-level,60000,Low
52,Male,Master's,Director,Director,20,Senior,200000,High
30,Female,PhD,Data Scientist,Science and Analytics,5,Junior,180000,High
42,Female,Master's,Product Manager,Managerial,12,Mid-level,120000,Moderate
30,Female,PhD,Data Scientist,Science and Analytics,5,Junior,180000,High
30,Female,PhD,Data Scientist,Science and Analytics,5,Junior,180000,High
38,Male,PhD,Senior Scientist,Science and Analytics,10,Mid-level,110000,Moderate
30,Female,PhD,Data Scientist,Science and Analytics,5,Junior,180000,High
48,Female,Bachelor's,HR,HR,18,Senior,140000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
40,Female,Master's,Project Manager,Managerial,14,Mid-level,130000,Moderate
31,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
44,Male,Bachelor's,Operations Manager,Managerial,16,Senior,125000,Moderate
33,Female,Master's,Marketing Manager,Managerial,7,Mid-level,90000,Moderate
39,Male,PhD,Senior Engineer,Engineering,12,Mid-level,115000,Moderate
25,Female,Bachelor's,Data Entry Clerk,Science and Analytics,0,Intern,35000,Low
51,Male,Bachelor's,Sales Director,Director,22,Senior,180000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
47,Male,Master's,VP of Operations,Operations,19,Senior,190000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
36,Female,Bachelor's,Recruiter,HR,9,Mid-level,60000,Low
41,Male,Master's,Financial Manager,Managerial,13,Mid-level,140000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
37,Female,Master's,Software Manager,Managerial,11,Mid-level,110000,Moderate
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
43,Female,PhD,Senior Consultant,Science and Analytics,15,Senior,140000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
50,Male,Bachelor's,CEO,Director,25,Managerial,250000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
39,Female,Bachelor's,Marketing Specialist,Marketing,10,Mid-level,65000,Low
46,Male,PhD,Senior Manager,Managerial,20,Senior,170000,High
31,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
35,Female,Bachelor's,HR,HR,7,Mid-level,60000,Low
42,Male,Master's,Project Engineer,Engineering,14,Mid-level,115000,Moderate
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
49,Male,Bachelor's,Sales Executive,Sales,21,Senior,160000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
48,Male,Master's,Operations Director,Director,18,Senior,190000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
36,Female,Bachelor's,Accountant,Accountant,8,Mid-level,45000,Low
41,Male,Master's,Strategy Consultant,Marketing,13,Mid-level,130000,Moderate
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
45,Female,Master's,Director of Marketing,Director,16,Senior,180000,High
38,Male,PhD,Senior Scientist,Science and Analytics,11,Mid-level,120000,Moderate
25,Male,Bachelor's,Help Desk Analyst,Operations,0,Intern,35000,Low
51,Female,Bachelor's,Customer Service Manager,Managerial,22,Senior,130000,Moderate
33,Male,Master's,Business Analyst,Business,7,Mid-level,85000,Moderate
40,Female,Bachelor's,Event Coordinator,Marketing,12,Mid-level,60000,Low
47,Male,Master's,VP of Finance,Finance,19,Senior,200000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
36,Male,Bachelor's,Sales Manager,Managerial,9,Mid-level,95000,Moderate
31,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
43,Male,PhD,Senior Engineer,Engineering,17,Senior,140000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
35,Male,Master's,Product Manager,Managerial,7,Mid-level,105000,Moderate
51,Female,Master's,Director of Operations,Director,23,Managerial,170000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
40,Female,Bachelor's,HR,HR,12,Mid-level,80000,Moderate
47,Male,PhD,Senior Data Scientist,Science and Analytics,21,Senior,180000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
38,Female,Master's,Digital Marketing Manager,Managerial,10,Mid-level,90000,Moderate
46,Male,Bachelor's,IT Manager,Managerial,19,Senior,120000,Moderate
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
34,Male,Master's,Business Development Manager,Business,8,Mid-level,90000,Moderate
49,Female,Master's,Senior Financial Analyst,Finance,18,Senior,150000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
39,Female,Bachelor's,Recruiter,HR,11,Mid-level,70000,Moderate
45,Male,PhD,Research Director,Director,16,Senior,190000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
42,Female,Master's,Creative Director,Director,14,Mid-level,120000,Moderate
37,Male,Bachelor's,Project Manager,Managerial,10,Mid-level,95000,Moderate
50,Female,Bachelor's,Operations Manager,Managerial,22,Senior,160000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
48,Female,Master's,HR,HR,20,Senior,180000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
36,Male,Bachelor's,Technical Recruiter,HR,8,Mid-level,70000,Moderate
31,Male,Bachelor's,Data Analyst,Science and Analytics,9,Mid-level,195000,High
25,Male,Bachelor's,Sales Representative,Sales,0,Intern,30000,Low
52,Male,PhD,Chief Technology Officer,Director,24,Managerial,250000,High
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
34,Female,Master's,Financial Advisor,Finance,10,Mid-level,95000,Moderate
29,Female,Master's,Data Scientist,Science and Analytics,6,Junior,180000,High
